company,year,quarter,earnings
alstria office REIT,2015,2,"25,600,000.00"
alstria office REIT,2015,3,"9,000,000.00"
alstria office REIT,2015,4,"-135,500,000.00"
alstria office REIT,2016,1,"14,600,000.00"
alstria office REIT,2016,2,"39,200,000.00"
alstria office REIT,2016,3,"25,300,000.00"
alstria office REIT,2016,4,"97,800,000.00"
alstria office REIT,2017,1,"30,900,000.00"
alstria office REIT,2017,2,"47,700,000.00"
alstria office REIT,2017,3,"33,100,000.00"
alstria office REIT,2017,4,"185,300,000.00"
Aurubis,2012,1,"135,500,000.00"
Aurubis,2012,2,"111,200,000.00"
Aurubis,2012,3,"32,500,000.00"
Aurubis,2012,4,"81,900,000.00"
Aurubis,2013,1,"9,600,000.00"
Aurubis,2013,2,"26,500,000.00"
Aurubis,2013,3,"-246,400,000.00"
Aurubis,2013,4,"56,400,000.00"
Aurubis,2014,1,"-52,500,000.00"
Aurubis,2014,2,"-34,600,000.00"
Aurubis,2014,3,"101,000,000.00"
Aurubis,2014,4,"28,700,000.00"
Aurubis,2015,1,"24,400,000.00"
Aurubis,2015,2,"105,700,000.00"
Aurubis,2015,3,"51,100,000.00"
Aurubis,2015,4,"-48,800,000.00"
Aurubis,2016,1,"-25,100,000.00"
Aurubis,2016,2,"54,000,000.00"
Aurubis,2016,3,"42,300,000.00"
Aurubis,2016,4,"50,700,000.00"
Aurubis,2017,1,"77,800,000.00"
Aurubis,2017,2,"129,900,000.00"
Aurubis,2017,3,"76,200,000.00"
Aurubis,2017,4,"67,000,000.00"
Axel Springer,2012,1,"60,700,000.00"
Axel Springer,2012,2,"80,200,000.00"
Axel Springer,2012,3,"18,600,000.00"
Axel Springer,2012,4,"78,600,000.00"
Axel Springer,2013,1,"62,800,000.00"
Axel Springer,2013,2,"71,700,000.00"
Axel Springer,2013,3,"40,300,000.00"
Axel Springer,2013,4,"22,300,000.00"
Axel Springer,2014,1,"70,900,000.00"
Axel Springer,2014,2,"681,700,000.00"
Axel Springer,2014,3,"59,700,000.00"
Axel Springer,2014,4,"-12,500,000.00"
Axel Springer,2015,1,"31,500,000.00"
Axel Springer,2015,2,"48,800,000.00"
Axel Springer,2015,3,"137,200,000.00"
Axel Springer,2015,4,"34,900,000.00"
Axel Springer,2016,1,"203,200,000.00"
Axel Springer,2016,2,"56,500,000.00"
Axel Springer,2016,3,"88,300,000.00"
Axel Springer,2016,4,"79,300,000.00"
Axel Springer,2017,1,"39,300,000.00"
Axel Springer,2017,2,"63,000,000.00"
Axel Springer,2017,3,"37,200,000.00"
Axel Springer,2017,4,"206,000,000.00"
Brenntag,2012,1,"79,100,000.00"
Brenntag,2012,2,"81,000,000.00"
Brenntag,2012,3,"78,600,000.00"
Brenntag,2012,4,"97,500,000.00"
Brenntag,2013,1,"69,700,000.00"
Brenntag,2013,2,"68,700,000.00"
Brenntag,2013,3,"80,900,000.00"
Brenntag,2013,4,"119,900,000.00"
Brenntag,2014,1,"72,100,000.00"
Brenntag,2014,2,"80,500,000.00"
Brenntag,2014,3,"86,100,000.00"
Brenntag,2014,4,"100,600,000.00"
Brenntag,2015,1,"90,600,000.00"
Brenntag,2015,2,"107,200,000.00"
Brenntag,2015,3,"93,900,000.00"
Brenntag,2015,4,"73,300,000.00"
Brenntag,2016,1,"65,900,000.00"
Brenntag,2016,2,"101,500,000.00"
Brenntag,2016,3,"93,400,000.00"
Brenntag,2016,4,"99,500,000.00"
Brenntag,2017,1,"94,500,000.00"
Brenntag,2017,2,"106,700,000.00"
Brenntag,2017,3,"100,500,000.00"
Brenntag,2017,4,"59,100,000.00"
Ceconomy St,2012,1,"-82,000,000.00"
Ceconomy St,2012,2,"-20,000,000.00"
Ceconomy St,2012,3,"77,000,000.00"
Ceconomy St,2012,4,"28,000,000.00"
Ceconomy St,2013,1,"-16,000,000.00"
Ceconomy St,2013,2,"33,000,000.00"
Ceconomy St,2013,3,"-17,000,000.00"
Ceconomy St,2013,4,"-71,000,000.00"
Ceconomy St,2014,1,"451,000,000.00"
Ceconomy St,2014,2,"-269,000,000.00"
Ceconomy St,2014,3,"-63,000,000.00"
